konum,fiyat,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,ortalama_yakit_tuketimi,yakit_deposu,tramer,degisen,boyali
 Afyonkarahisar,1150000.0,Mercedes - Benz,C,C 220 CDI AMG,2009,360000.0,Otomatik,Dizel,Sedan,2148.0,170.0,Arkadan İtiş,6.9,66.0,0.0,0,0
 Afyonkarahisar,825000.0,Renault,Clio,1.0 TCe Joy,2021,139000.0,Otomatik,Benzin,Hatchback/5,999.0,90.0,Önden Çekiş,5.0,42.0,0.0,1,1
 Afyonkarahisar,220000.0,Volkswagen,Polo,1.6 Classic,1997,372000.0,Düz,LPG & Benzin,Sedan,1595.0,100.0,Önden Çekiş,7.4,45.0,0.0,0,0
 Afyonkarahisar,1050000.0,Toyota,Auris,1.4 D-4D Advance,2016,106000.0,Düz,Dizel,Hatchback/5,1364.0,90.0,Önden Çekiş,4.0,50.0,0.0,0,0
 Afyonkarahisar,659000.0,Fiat,Egea,1.3 Multijet Easy,2017,170000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.1,45.0,2023.0,2,2
 Afyonkarahisar,320000.0,Renault,Megane,2.0 RXE,1998,246000.0,Düz,LPG & Benzin,Sedan,1998.0,115.0,Önden Çekiş,8.4,60.0,0.0,0,0
 Afyonkarahisar,350000.0,Volkswagen,Passat,1.9 TDi Comfortline,2000,409000.0,Düz,Dizel,Sedan,1896.0,110.0,Önden Çekiş,5.3,62.0,0.0,0,0
 Afyonkarahisar,1100000.0,Toyota,Corolla,1.4 D-4D Touch,2018,200000.0,Otomatik,Dizel,Sedan,1201.0,76.0,Önden Çekiş,4.1,55.0,0.0,0,7
 Afyonkarahisar,569000.0,Opel,Corsa,1.4 Twinport Enjoy,2008,180000.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,5.9,44.0,0.0,1,3
 Afyonkarahisar,320000.0,Opel,Astra,1.4 Classic,2000,295000.0,Düz,Benzin,Sedan,1389.0,60.0,Önden Çekiş,7.7,52.0,0.0,0,10
 Afyonkarahisar,630000.0,Opel,Astra,1.6 Edition,2012,155000.0,Düz,Benzin,Hatchback/5,1401.0,101.0,Önden Çekiş,6.5,56.0,0.0,0,6
 Afyonkarahisar,755000.0,Ford,Focus,1.6 TDCi Trend,2013,215000.0,Düz,Dizel,Sedan,1560.0,95.0,Önden Çekiş,4.2,53.0,0.0,0,3
 Afyonkarahisar,779000.0,Ford,Focus,1.6 TDCi Trend X,2012,200000.0,Düz,Dizel,Sedan,1560.0,95.0,Önden Çekiş,4.2,53.0,0.0,0,0
 Afyonkarahisar,724500.0,Fiat,Egea,1.4 Fire Urban Plus,2019,95000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,5.7,45.0,0.0,0,0
 Afyonkarahisar,819500.0,Audi,A3,A3 Sportback 1.2 TFSI Attraction,2011,210000.0,Otomatik,Benzin,Hatchback/5,1200.0,101.0,Önden Çekiş,5.5,55.0,7200.0,0,3
 Afyonkarahisar,389000.0,Fiat,Linea,1.3 Multijet Active Plus,2009,278000.0,Düz,Dizel,Sedan,1248.0,90.0,Önden Çekiş,4.9,45.0,0.0,0,0
 Afyonkarahisar,1925000.0,Volkswagen,Passat,1.6 TDi BlueMotion Business,2020,115000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.4,66.0,0.0,0,0
 Afyonkarahisar,1595000.0,Volkswagen,Passat,1.4 TSi BlueMotion Highline,2016,144000.0,Otomatik,Benzin,Sedan,1201.0,126.0,Önden Çekiş,6.0,70.0,10000.0,1,0
 Afyonkarahisar,620000.0,Ford,Focus,1.6 TDCi Trend X,2010,240000.0,Düz,Dizel,Sedan,1401.0,76.0,Önden Çekiş,4.5,53.0,0.0,2,2
 Afyonkarahisar,1075000.0,Ford,Focus,1.5 TDCi Trend X,2015,147000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.3,47.0,0.0,0,0
 Afyonkarahisar,205000.0,Opel,Vectra,2.0 GLS,1993,290000.0,Düz,Benzin,Sedan,1801.0,101.0,Önden Çekiş,8.7,61.0,0.0,0,0
 Afyonkarahisar,1145000.0,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013,191000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.7,70.0,431.0,0,2
 Afyonkarahisar,1400000.0,Audi,A4,A4 Sedan 2.0 TDI Quattro,2013,187000.0,Otomatik,Dizel,Sedan,1801.0,176.0,4WD (Sürekli),5.1,63.0,0.0,0,0
 Afyonkarahisar,700000.0,Toyota,Yaris,1.3 Sol,2009,102000.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,5.6,45.0,5047.0,1,4
 Afyonkarahisar,385000.0,Opel,Astra,1.3 CDTI Enjoy,2009,310000.0,Düz,Dizel,Sedan,1248.0,90.0,Önden Çekiş,5.1,52.0,0.0,1,1
 Afyonkarahisar,195000.0,Hyundai,Accent,1.3 LS,1997,143000.0,Düz,LPG & Benzin,Sedan,1341.0,75.0,Önden Çekiş,7.4,45.0,0.0,1,10
 Afyonkarahisar,500000.0,Hyundai,Getz,1.4 DOHC Start,2009,190000.0,Düz,LPG & Benzin,Hatchback/5,1399.0,97.0,Önden Çekiş,6.0,45.0,0.0,0,0
 Afyonkarahisar,420000.0,Opel,Meriva,1.6 Cosmo,2004,255000.0,Yarı Otomatik,LPG & Benzin,MPV,1598.0,100.0,Önden Çekiş,7.2,53.0,0.0,1,0
 Afyonkarahisar,325000.0,Ford,Focus,1.6 Ambiente,1999,334000.0,Düz,LPG & Benzin,Sedan,1596.0,100.0,Önden Çekiş,6.9,55.0,0.0,0,0
 Afyonkarahisar,530000.0,Opel,Astra,1.3 CDTI Essentia,2011,275124.0,Düz,Dizel,Hatchback/5,1248.0,90.0,Önden Çekiş,4.9,52.0,0.0,0,0
 Afyonkarahisar,385000.0,Peugeot,307,1.4 Comfort,2006,198000.0,Düz,LPG & Benzin,Hatchback/5,1360.0,89.0,Önden Çekiş,6.5,60.0,0.0,0,0
 Afyonkarahisar,380000.0,Citroen,C4,1.6 SX,2005,175000.0,Düz,LPG & Benzin,Hatchback/5,1587.0,111.0,Önden Çekiş,7.1,60.0,0.0,0,5
 Afyonkarahisar,255000.0,Volkswagen,Polo,1.6 Classic,2001,262000.0,Düz,Benzin,Sedan,1401.0,51.0,Önden Çekiş,7.9,45.0,0.0,0,0
 Afyonkarahisar,750000.0,Volkswagen,Polo,1.6 TDi Trendline,2018,246000.0,Düz,Dizel,Hatchback/5,1598.0,80.0,Önden Çekiş,3.8,40.0,0.0,1,2
 Afyonkarahisar,310000.0,Volkswagen,Passat,1.8 Trendline,2000,400000.0,Otomatik,Benzin,Sedan,1781.0,125.0,Önden Çekiş,9.0,62.0,0.0,0,0
 Afyonkarahisar,829999.0,Toyota,Corolla,1.4 D-4D Advance,2013,210000.0,Otomatik,Dizel,Sedan,1364.0,90.0,Önden Çekiş,4.1,55.0,1170.0,1,4
 Afyonkarahisar,1050000.0,Ford,Focus,1.5 TDCi Titanium,2015,234000.0,Yarı Otomatik,Dizel,Sedan,1499.0,120.0,Önden Çekiş,4.2,55.0,0.0,0,0
 Afyonkarahisar,1100000.0,Volkswagen,VW CC,1.4 TSi,2015,215000.0,Yarı Otomatik,Benzin,Coupe,1395.0,150.0,Önden Çekiş,5.6,70.0,0.0,0,3
 Afyonkarahisar,600000.0,Honda,Civic,1.6 i-VTEC Premium,2008,290000.0,Düz,LPG & Benzin,Sedan,1595.0,125.0,Önden Çekiş,6.7,50.0,0.0,0,0
 Afyonkarahisar,1425000.0,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2015,136000.0,Yarı Otomatik,Benzin,Sedan,1395.0,150.0,Önden Çekiş,5.1,66.0,0.0,0,0
 Afyonkarahisar,490000.0,Volkswagen,Polo,1.2 TDi Trendline,2013,249000.0,Düz,Dizel,Hatchback/5,1199.0,75.0,Önden Çekiş,3.8,45.0,0.0,3,4
 Afyonkarahisar,690000.0,Mercedes - Benz,200,E,1990,420000.0,Düz,Benzin,Sedan,1997.0,118.0,Arkadan İtiş,10.0,70.0,0.0,0,6
 Afyonkarahisar,265000.0,Renault,Clio,1.4 RNA,2000,277000.0,Düz,LPG & Benzin,Sedan,1390.0,75.0,Önden Çekiş,7.1,50.0,0.0,0,9
 Afyonkarahisar,380000.0,Hyundai,i20 Troy,1.4 CRDi Team,2011,299999.0,Düz,Dizel,Hatchback/5,1396.0,75.0,Önden Çekiş,4.2,45.0,0.0,0,11
 Afyonkarahisar,370000.0,Volkswagen,Golf,1.6 Comfortline,1999,290000.0,Düz,LPG & Benzin,Hatchback/5,1595.0,101.0,Önden Çekiş,7.6,55.0,0.0,0,0
 Afyonkarahisar,155000.0,Hyundai,Accent,1.3 LS,1997,358000.0,Düz,LPG & Benzin,Sedan,1341.0,75.0,Önden Çekiş,7.4,45.0,0.0,0,0
 Afyonkarahisar,325000.0,Ford,Fusion,1.4 TDCi Comfort,2006,219400.0,Düz,Dizel,Hatchback/5,1399.0,68.0,Önden Çekiş,4.4,45.0,0.0,3,3
 Afyonkarahisar,1240000.0,Honda,Civic,1.6 i-VTEC Elegance,2016,161000.0,Otomatik,LPG & Benzin,Sedan,1597.0,125.0,Önden Çekiş,6.7,47.0,0.0,0,1
 Afyonkarahisar,310000.0,Peugeot,206+,1.4 HDi Comfort,2011,300000.0,Düz,Dizel,Hatchback/5,1398.0,71.0,Önden Çekiş,4.2,50.0,10000.0,0,0
 Afyonkarahisar,162000.0,Tofaş,Doğan,L,1989,257000.0,Düz,LPG & Benzin,Sedan,1581.0,83.0,Arkadan İtiş,6.5,50.0,0.0,0,0
 Afyonkarahisar,145000.0,Opel,Vectra,2.0 GLS,1993,335000.0,Düz,LPG & Benzin,Sedan,1998.0,115.0,Önden Çekiş,8.7,61.0,0.0,1,0
 Afyonkarahisar,339000.0,Renault,Clio,1.5 dCi Authentique,2004,272000.0,Düz,Dizel,Sedan,1461.0,65.0,Önden Çekiş,4.7,50.0,0.0,0,4
 Afyonkarahisar,735000.0,Audi,A3,A3 Sportback 1.6 TDI Attraction,2011,304000.0,Yarı Otomatik,Dizel,Hatchback/5,1598.0,105.0,Önden Çekiş,4.3,55.0,0.0,0,0
 Afyonkarahisar,225000.0,Fiat,Palio,1.6 HL,1999,222000.0,Düz,LPG & Benzin,Hatchback/5,1581.0,100.0,Önden Çekiş,8.3,51.0,0.0,0,0
 Afyonkarahisar,303000.0,Volkswagen,Polo,1.4 Comfortline,2000,233000.0,Düz,LPG & Benzin,Hatchback/3,1390.0,75.0,Önden Çekiş,6.2,45.0,0.0,0,10
 Afyonkarahisar,425000.0,Hyundai,Getz,1.4 DOHC AB AC,2007,154000.0,Düz,Benzin,Hatchback/5,1399.0,97.0,Önden Çekiş,6.0,45.0,0.0,0,6
 Afyonkarahisar,690000.0,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2012,285000.0,Düz,Dizel,Hatchback/5,1598.0,105.0,Önden Çekiş,3.8,50.0,0.0,0,10
 Afyonkarahisar,565000.0,Ford,Focus,1.6 TDCi Collection,2011,238000.0,Düz,Dizel,Sedan,1560.0,110.0,Önden Çekiş,4.8,55.0,0.0,0,2
 Afyonkarahisar,240000.0,Fiat,Palio,1.2 EL,2002,255000.0,Düz,Benzin,Hatchback/5,1242.0,74.0,Önden Çekiş,7.2,51.0,0.0,0,9
 Afyonkarahisar,790000.0,Toyota,Auris,1.4 D-4D Advance Skypack,2013,211000.0,Düz,Dizel,Hatchback/5,1364.0,90.0,Önden Çekiş,4.2,50.0,0.0,0,1
 Afyonkarahisar,1750000.0,Toyota,Corolla,1.5 Flame X-Pack,2022,15000.0,Otomatik,Benzin,Sedan,1490.0,125.0,Önden Çekiş,5.8,50.0,0.0,0,0
 Afyonkarahisar,270000.0,Volkswagen,Polo,1.6,2000,316000.0,Düz,LPG & Benzin,Sedan,1595.0,100.0,Önden Çekiş,7.9,45.0,0.0,0,0
 Afyonkarahisar,310000.0,Opel,Vectra,2.0 CD,1999,329000.0,Düz,LPG & Benzin,Sedan,1998.0,136.0,Önden Çekiş,8.5,60.0,0.0,0,0
 Afyonkarahisar,270000.0,Renault,Clio,1.4 Authentique,2002,287500.0,Düz,Benzin,Sedan,1390.0,75.0,Önden Çekiş,7.1,50.0,0.0,0,5
 Afyonkarahisar,535000.0,Fiat,Linea,1.3 Multijet Actual,2013,132000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.9,45.0,0.0,2,3
 Afyonkarahisar,1075000.0,Opel,Insignia,1.6 CDTI Cosmo,2016,140000.0,Otomatik,Dizel,Sedan,1598.0,136.0,Önden Çekiş,5.0,70.0,0.0,0,0
 Afyonkarahisar,1275000.0,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2017,197000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.3,70.0,0.0,0,0
 Afyonkarahisar,1525000.0,BMW,5 Serisi,520i M Sport,2015,172000.0,Otomatik,Benzin,Sedan,1401.0,151.0,Arkadan İtiş,7.1,68.0,17.0,0,2
 Afyonkarahisar,710000.0,Volkswagen,Polo,1.0 Trendline,2016,97000.0,Düz,Benzin,Hatchback/5,1200.0,51.0,Önden Çekiş,5.1,45.0,1600.0,0,0
 Afyonkarahisar,1425000.0,Skoda,SuperB,1.6 TDI Prestige,2016,178000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.1,66.0,21000.0,1,3
 Afyonkarahisar,1170000.0,BMW,3 Serisi,316i Sport Line,2012,145000.0,Otomatik,Benzin,Sedan,1401.0,126.0,Arkadan İtiş,5.8,60.0,2.0,0,2
 Afyonkarahisar,1230000.0,Renault,Clio,1.0 TCe Evolution,2023,6000.0,Otomatik,Benzin,Hatchback/5,999.0,90.0,Önden Çekiş,6.0,42.0,0.0,0,0
 Afyonkarahisar,599999.0,Ford,Focus,1.6 Comfort,2011,231000.0,Düz,LPG & Benzin,Sedan,1596.0,100.0,Önden Çekiş,6.7,55.0,0.0,0,1
 Afyonkarahisar,380000.0,Hyundai,i20,1.4 CRDi Team,2012,316500.0,Düz,Dizel,Hatchback/5,1396.0,75.0,Önden Çekiş,4.4,45.0,0.0,0,8
 Afyonkarahisar,530000.0,Hyundai,Accent Era,1.5 CRDi-VGT Team,2012,184000.0,Düz,Dizel,Sedan,1493.0,110.0,Önden Çekiş,4.6,45.0,0.0,1,2
 Afyonkarahisar,760000.0,Opel,Astra,1.6 CDTI Sport,2014,232000.0,Düz,Dizel,Hatchback/5,1598.0,136.0,Önden Çekiş,3.9,56.0,0.0,0,3
 Afyonkarahisar,400000.0,Opel,Astra,1.6 Enjoy,2005,300000.0,Yarı Otomatik,LPG & Benzin,Station wagon,1598.0,105.0,Önden Çekiş,6.5,52.0,0.0,0,3
 Afyonkarahisar,420000.0,Seat,Alhambra,1.9 TDI,2002,270000.0,Düz,Dizel,MPV,1896.0,115.0,Önden Çekiş,7.4,70.0,0.0,0,6
 Afyonkarahisar,499999.0,Renault,Megane,1.5 dCi Expression Plus,2009,275000.0,Düz,Dizel,Sedan,1401.0,76.0,Önden Çekiş,4.6,60.0,0.0,1,5
 Afyonkarahisar,300000.0,Peugeot,206,1.4 Comfort,2009,184000.0,Düz,LPG & Benzin,Sedan,1360.0,76.0,Önden Çekiş,6.5,50.0,0.0,2,5
 Afyonkarahisar,250000.0,Mitsubishi,Carisma,1.6 Avance,2001,415000.0,Düz,LPG & Benzin,Hatchback/5,1597.0,103.0,Önden Çekiş,7.4,60.0,0.0,0,11
 Afyonkarahisar,430000.0,Opel,Astra,1.4 Classic,2008,170000.0,Düz,LPG & Benzin,Hatchback/5,1364.0,90.0,Önden Çekiş,7.2,52.0,0.0,1,7
 Afyonkarahisar,360000.0,Peugeot,206,1.4 XR,2001,159000.0,Otomatik,LPG & Benzin,Hatchback/5,1360.0,76.0,Önden Çekiş,6.9,50.0,0.0,0,2
 Afyonkarahisar,350000.0,Fiat,Linea,1.4 Fire Dynamic,2008,252000.0,Düz,LPG & Benzin,Sedan,1368.0,77.0,Önden Çekiş,6.3,45.0,0.0,0,0
 Afyonkarahisar,1575000.0,Citroen,C4 X,1.2 PureTech Shine Bold,2024,28500.0,Otomatik,Benzin,SUV,1199.0,132.0,Önden Çekiş,4.9,50.0,0.0,0,0
 Afyonkarahisar,410000.0,Opel,Vectra,2.0 GLS,1997,106000.0,Otomatik,Benzin,Sedan,1801.0,126.0,Önden Çekiş,8.7,61.0,0.0,0,0
 Afyonkarahisar,500000.0,Volkswagen,Passat,2.0 TDi Comfortline,2006,400000.0,Düz,Dizel,Sedan,1801.0,126.0,Önden Çekiş,6.6,70.0,0.0,1,0
 Afyonkarahisar,970000.0,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013,278000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.7,70.0,0.0,2,6
 Afyonkarahisar,258000.0,Opel,Corsa,1.0 Essentia,2004,274000.0,Düz,Benzin,Hatchback/5,998.0,60.0,Önden Çekiş,5.3,44.0,0.0,0,6
 Afyonkarahisar,249000.0,Fiat,Marea,1.6 Liberty,2004,220200.0,Düz,LPG & Benzin,Sedan,1596.0,103.0,Önden Çekiş,8.1,63.0,0.0,0,11
 Afyonkarahisar,390000.0,Fiat,Linea,1.6 Multijet Active Plus,2011,270000.0,Düz,Dizel,Sedan,1598.0,105.0,Önden Çekiş,5.0,45.0,0.0,0,0
 Afyonkarahisar,600000.0,Hyundai,i20,1.2 D-CVVT Jump,2014,147000.0,Düz,Benzin,Hatchback/5,1248.0,85.0,Önden Çekiş,4.9,45.0,0.0,1,2
 Afyonkarahisar,310000.0,Fiat,Marea,1.6 Liberty,2004,265000.0,Düz,LPG & Benzin,Sedan,1596.0,103.0,Önden Çekiş,8.1,63.0,0.0,0,0
 Afyonkarahisar,250000.0,Fiat,Palio,1.4 EL,2000,183000.0,Düz,LPG & Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş,6.1,51.0,0.0,0,0
 Afyonkarahisar,575000.0,Peugeot,301,1.6 HDi Allure,2016,199000.0,Düz,Dizel,Sedan,1560.0,93.0,Önden Çekiş,4.3,50.0,0.0,0,5
 Afyonkarahisar,875000.0,Audi,A6,A6 Sedan 2.0 TDI,2011,305000.0,Otomatik,Dizel,Sedan,1998.0,177.0,Önden Çekiş,5.0,65.0,8.0,3,7
 Afyonkarahisar,245000.0,Volkswagen,Polo,1.6,1999,265000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,75.0,Önden Çekiş,6.9,45.0,0.0,0,0
 Afyonkarahisar,695000.0,Ford,Focus,1.6 Ti-VCT Trend X,2015,146000.0,Düz,LPG & Benzin,Sedan,1596.0,125.0,Önden Çekiş,6.0,55.0,0.0,0,4
 Afyonkarahisar,255000.0,Citroen,Xsara,1.6 SX,2003,272000.0,Düz,LPG & Benzin,Hatchback/5,1587.0,111.0,Önden Çekiş,6.9,54.0,0.0,0,0
 Afyonkarahisar,1495000.0,Toyota,Corolla,1.6 Dream,2020,58700.0,Otomatik,Benzin,Sedan,1598.0,132.0,Önden Çekiş,5.5,50.0,0.0,0,0
 Afyonkarahisar,300000.0,Peugeot,206,1.4 Executive,2009,227932.0,Düz,LPG & Benzin,Sedan,1360.0,76.0,Önden Çekiş,6.5,50.0,0.0,0,0
 Afyonkarahisar,309000.0,Fiat,Palio,1.4 Fire Premio Sole,2011,138950.0,Düz,LPG & Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş,6.1,51.0,0.0,1,2
 Afyonkarahisar,410000.0,Opel,Zafira,1.6 Comfort,2001,268000.0,Düz,LPG & Benzin,MPV,1598.0,100.0,Önden Çekiş,7.9,58.0,0.0,0,0
 Afyonkarahisar,410000.0,Opel,Corsa,1.2 Enjoy,2004,179500.0,Düz,Benzin,Hatchback/5,1229.0,80.0,Önden Çekiş,6.0,44.0,0.0,0,0
 Afyonkarahisar,220000.0,Opel,Corsa,1.4 Swing,1998,1750000.0,Düz,LPG & Benzin,Hatchback/5,1389.0,90.0,Önden Çekiş,7.4,42.0,0.0,0,0
 Afyonkarahisar,1225000.0,Volkswagen,Golf,1.2 TSi Comfortline,2016,88000.0,Düz,Benzin,Hatchback/5,1197.0,110.0,Önden Çekiş,4.9,50.0,0.0,0,0
 Afyonkarahisar,315000.0,Hyundai,Getz,1.5 CRDi GL Cool,2004,266000.0,Düz,Dizel,Hatchback/5,1493.0,82.0,Önden Çekiş,5.3,45.0,0.0,0,4
 Afyonkarahisar,515000.0,Opel,Corsa,1.3 CDTI Enjoy,2011,189000.0,Düz,Dizel,Hatchback/5,1201.0,76.0,Önden Çekiş,4.5,44.0,0.0,0,5
 Afyonkarahisar,585000.0,Citroen,C4 Picasso,1.6 HDi SX PK,2008,207000.0,Yarı Otomatik,Dizel,MPV,1560.0,111.0,Önden Çekiş,5.7,60.0,0.0,0,1
 Afyonkarahisar,355000.0,Fiat,Linea,1.3 Multijet Active Plus,2011,321000.0,Düz,Dizel,Sedan,1248.0,90.0,Önden Çekiş,4.9,45.0,0.0,0,4
 Afyonkarahisar,230000.0,Volkswagen,Polo,1.6 Classic,1997,50000.0,Düz,LPG & Benzin,Sedan,1595.0,100.0,Önden Çekiş,7.4,45.0,0.0,0,0
 Afyonkarahisar,580000.0,Kia,Ceed,1.6 CRDi Cool,2011,240000.0,Düz,Dizel,Hatchback/5,1582.0,90.0,Önden Çekiş,3.9,53.0,0.0,1,7
 Afyonkarahisar,495000.0,Ford,Mondeo,1.6 Selective,2009,348000.0,Düz,LPG & Benzin,Sedan,1596.0,125.0,Önden Çekiş,7.4,70.0,0.0,0,0
 Afyonkarahisar,885000.0,Volkswagen,Passat,2.0 TDi BlueMotion Highline,2012,310000.0,Yarı Otomatik,Dizel,Sedan,1968.0,140.0,Önden Çekiş,5.2,70.0,0.0,0,5
 Afyonkarahisar,430000.0,Renault,Clio,1.5 dCi Grandtour Authentique,2010,230000.0,Düz,Dizel,Station wagon,1461.0,65.0,Önden Çekiş,4.5,55.0,0.0,0,0
 Afyonkarahisar,615000.0,Honda,Civic,1.6 i-VTEC Premium,2007,288000.0,Otomatik,LPG & Benzin,Sedan,1595.0,125.0,Önden Çekiş,6.7,50.0,0.0,1,4
 Afyonkarahisar,318000.0,Volkswagen,Polo,1.4 Comfortline,2000,275000.0,Düz,LPG & Benzin,Hatchback/3,1390.0,100.0,Önden Çekiş,6.7,45.0,0.0,1,0
 Afyonkarahisar,420000.0,Opel,Astra,1.6 GL,2000,292000.0,Düz,Benzin,Sedan,1598.0,100.0,Önden Çekiş,7.4,52.0,0.0,0,0
 Afyonkarahisar,400000.0,Opel,Astra,1.6 CD,1999,260000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,100.0,Önden Çekiş,7.4,52.0,0.0,0,0
 Afyonkarahisar,865000.0,Fiat,Egea,1.3 Multijet Urban,2017,127000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.1,45.0,0.0,0,0
 Afyonkarahisar,625000.0,Volkswagen,Jetta,1.6 TDi Comfortline,2014,382000.0,Yarı Otomatik,Dizel,Sedan,1598.0,105.0,Önden Çekiş,4.7,55.0,0.0,2,9
 Afyonkarahisar,600000.0,Hyundai,Accent Blue,1.4 CVVT Mode,2011,215000.0,Düz,LPG & Benzin,Sedan,1396.0,108.0,Önden Çekiş,5.9,43.0,0.0,0,4
 Afyonkarahisar,960000.0,Opel,Corsa,1.5 CDTI Edition,2020,74500.0,Düz,Dizel,Hatchback/5,1499.0,102.0,Önden Çekiş,3.2,41.0,0.0,0,0
 Afyonkarahisar,485000.0,Hyundai,i30,1.4 CVVT Team,2010,208500.0,Düz,LPG & Benzin,Hatchback/5,1396.0,109.0,Önden Çekiş,6.1,53.0,0.0,3,7
 Afyonkarahisar,485000.0,Opel,Astra,1.3 CDTI Enjoy Elegance,2009,221000.0,Düz,Dizel,Sedan,1248.0,90.0,Önden Çekiş,5.1,52.0,0.0,0,5
 Afyonkarahisar,755000.0,Volkswagen,Passat,2.0 TDi Highline,2008,273000.0,Yarı Otomatik,Dizel,Sedan,1968.0,140.0,Önden Çekiş,6.4,70.0,0.0,0,0
 Afyonkarahisar,370000.0,Ford,Focus,1.6 Ambiente,2001,283000.0,Düz,LPG & Benzin,Sedan,1596.0,100.0,Önden Çekiş,6.9,55.0,0.0,1,0
 Afyonkarahisar,285000.0,Fiat,Palio,1.2 SL,2003,295000.0,Düz,LPG & Benzin,Hatchback/5,1242.0,74.0,Önden Çekiş,7.2,51.0,0.0,0,4
 Afyonkarahisar,560000.0,Ford,Focus,1.6 TDCi Collection,2010,241000.0,Düz,Dizel,Hatchback/5,1560.0,90.0,Önden Çekiş,4.7,55.0,0.0,0,3
 Afyonkarahisar,285000.0,BMW,3 Serisi,320i,1995,300000.0,Düz,LPG & Benzin,Sedan,1991.0,150.0,Arkadan İtiş,9.4,65.0,0.0,1,12
 Afyonkarahisar,170000.0,Fiat,Palio,1.2 S Weekend,2001,221000.0,Düz,LPG & Benzin,Station wagon,1242.0,74.0,Önden Çekiş,7.2,51.0,0.0,0,0
 Afyonkarahisar,850000.0,Toyota,Auris,1.33 Life,2016,154500.0,Düz,LPG & Benzin,Hatchback/5,1329.0,99.0,Önden Çekiş,5.8,50.0,0.0,0,0
 Afyonkarahisar,449000.0,Renault,Fluence,1.5 dCi Extreme Edition,2012,346000.0,Yarı Otomatik,Dizel,Sedan,1461.0,110.0,Önden Çekiş,4.4,60.0,0.0,2,8
 Afyonkarahisar,380000.0,Peugeot,407,1.6 HDi Comfort,2006,234500.0,Düz,Dizel,Sedan,1560.0,112.0,Önden Çekiş,5.3,66.0,0.0,0,0
 Afyonkarahisar,495000.0,Citroen,C5,1.6 HDi Dynamique,2009,335000.0,Düz,Dizel,Sedan,1560.0,111.0,Önden Çekiş,5.6,71.0,0.0,0,1
 Afyonkarahisar,325000.0,Opel,Astra,1.6 CD,1998,340000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,100.0,Önden Çekiş,7.4,52.0,0.0,0,0
 Afyonkarahisar,895000.0,Opel,Corsa,1.2 Innovation,2020,49000.0,Düz,Benzin,Hatchback/5,1199.0,75.0,Önden Çekiş,4.1,40.0,0.0,0,0
 Afyonkarahisar,1250000.0,BMW,3 Serisi,316i Standart,2013,208000.0,Otomatik,Benzin,Sedan,1598.0,136.0,Arkadan İtiş,5.8,60.0,0.0,0,0
 Afyonkarahisar,665000.0,Toyota,Corolla,1.4 D-4D Comfort,2008,235000.0,Düz,Dizel,Sedan,1364.0,90.0,Önden Çekiş,4.9,55.0,2300.0,0,4
 Afyonkarahisar,420000.0,Renault,Megane,1.6 Dynamique,2006,197000.0,Düz,LPG & Benzin,Sedan,1598.0,110.0,Önden Çekiş,6.9,60.0,0.0,0,0
 Afyonkarahisar,2645000.0,Volkswagen,Passat,1.5 TSi Elegance,2020,18500.0,Yarı Otomatik,Benzin,Sedan,1498.0,150.0,Önden Çekiş,5.3,66.0,0.0,0,0
 Afyonkarahisar,425000.0,Volkswagen,Passat,1.8 T Comfortline,2000,278000.0,Otomatik,LPG & Benzin,Sedan,1781.0,150.0,Önden Çekiş,9.1,62.0,0.0,1,0
 Afyonkarahisar,980000.0,Renault,Megane,1.5 dCi Touch,2018,275000.0,Yarı Otomatik,Dizel,Sedan,1461.0,110.0,Önden Çekiş,3.8,49.0,0.0,0,0
 Afyonkarahisar,1050000.0,Audi,A4,A4 Sedan 2.0 TDI,2012,235000.0,Otomatik,Dizel,Sedan,1968.0,177.0,Önden Çekiş,4.8,63.0,0.0,2,5
